lyrics,is_drake
"[Verse]
Put my feelings on ice
Always been a gem
Certified lover boy, somehow still heartless
Heart is only gettin' colder",1
"[Verse]
Hands are tied
Someone's in my ear from the other side
Tellin' me that I should pay you no mind
Wanted you to not be with me all night
Wanted you to not stay with me all night
I know, you know, who that person is to me
Doesn't really change things

[Chorus]
I know you're scared of dating, falling for me
Shorty, surely you know me
Right here for you always
You know, I don't ever change
Right here for you always
You know I don't ever change
Right here for you

[Bridge]
In mind you make me want to do things, love you
Like I'm supposed to
You make me want to love you
Like I'm supposed to
You make me want to love you
Like I'm supposed to, remind you
Ayy

[Chorus]
I know you're scared of dating, falling for me
Shorty, by now you know me
Right here for you always
You know, I don't ever change
Right here for you always
You know I don't ever change
Right here for you",1
"[Intro]
Yeah, we back
Wassup ladies?
Swishahouse, baby
Wassup to all the ladies on the Northside, Southside, Eastside, Westside?
Wassup in Bay City?
Wassup to all the ladies in Louisiana?
Wassup to all the ladies in Dallas, Austin, San Antonio?
Marshall, Prairie View, it's going down
Wharton County, Texas City, H-Town, baby
TSU ladies

[Chorus]
She moved out of state, and shit done went left, she's seekin' forgiveness
She used to dance, but she want a loan and start up a business
Her daddy is not around, her momma is not around
I watch her climb to the top of the pole and then get to slidin' down
I make it rain in this bitch, I make it snow in this bitch
She tryna get out of the mix
Shawty is goin' legit, shawty is goin' legit
Me, I'm supportin' this shit, this is a story
Came from my life and I'm just recordin' this shit

[Verse 1]
I'ma just give it to you direct, instead of me throwin' this shit
You know you important and shit
You know I'm supportin' this shit
We used to do pornos when you would come over but now you got morals and shit
I got like four on the wrist and an adorable kid
I got the drac' in the studio and I don't just mean that I'm in this bitch
Please make the most of this shit
Don't just come close to some shit
I give you this bread, you run me some head
And then you go glow up a bit

[Chorus]
She moved out of state, and shit done went left, she's seekin' forgiveness
She used to dance, but she want a loan and start up a business
Her daddy is not around, her momma is not around
I watch her climb to the top of the pole and then get to sli-
I make it rain in this bitch, I make it snow in this bitch
She tryna get out of the mix
Shawty is goin' legit, shawty is goin' legit
Me, I'm supportin' this shit, this is a story
Came from my life and I'm just recordin' this shit

[Verse 2]
Her daddy is not around, momma is definitely not around
She got a business plan, but she just ain't had time to write it down
Stay with her sister now, she got a man, but he out of town
Soon as he out of town, they hop in his whip and they ride around
I watch her climb to the top of the pole and then get to slidin', slidin'
Thought about trappin' a player before, but that just ain't right, right
Look in the mirror if you wanna look at some things on the bright side
You popped a 325, you feelin' too good to worry tonight

[Chorus]
She moved out of state, and shit done went left, she's seekin' forgiveness
She used to dance, but she want a loan and start up a business
Her daddy is not around, her momma is not around
I watch her climb to the top of the pole and then get to sli-
I make it rain in this bitch, I make it snow in this bitch
She tryna get out of the mix
Shawty is goin' legit, shawty is goin' legit
Me, I'm supportin' this shit, this is a story
Came for my life and I'm just recordin' this shit",1
"[Intro: Drake]
Ayy, yeah
Pipe this shit up and I turn this shit up
When I was down, I was down
Now them diamonds for fun like damn
Ayy, yeah

[Verse 1: Drake]
Trendsetter, Ben Frank getter (Yeah)
Whip whatever, whip whatever
I buy diamonds when I'm under pressure (Yeah)
When I apply it, shit don’t ever let up, yeah
Look, I'm in the cut, The Boy in the cut
Jump in the whip where the ceilings go up, we up
All of this grindin' for what?
It’s funny when you niggas thought it was luck
I cannot give you a pass if you play with my money and family and friends
And I compete with myself while you niggas competin' with trends
Your foreign is used, I looked up the VIN
I know the truth, no use in pretendin' with him

[Chorus: Drake]
Still in the cut, The Boy in the cut
Hop in the whip where the ceilings go up, we up

[Verse 2: Roddy Ricch]
And I'm way up at the top of the loft
Gotta stay up, ain't no knockin' me off
Pull up smooth, A.I. with the cross (Haha)
Countin' up wins on wins on wins, for all of my dawgs I lost
I might call Pharrell, get the new Chanel
Thugger got the YSL, huh
I remember when the Feds did the sweep, I pray my dawgs didn't tell, huh
Cruisin’ down Biscayne
I was in Miami, she gave me top with the top off
Cartier wrist gang, got her a Audemar
She got the head, knock your socks off
You ain’t gettin' money, you ain’t fuckin' with me
You ain't in your bitch top five
I might pull up in the Six with Drizzy
I was just in Houston, fuckin' with the mob ties
We don’t never ever play two sides
Hang out the Phantom, it's suicide
They ridin' my wave like a rogue tide
My necklace is wet like the poolside

[Chorus: Drake, Drake & Roddy Ricch]
Still in the cut, The Boy in the cut, yeah
Hop in the whip where the ceilings go up, we up",1
"[Verse 1: Drake]
You ask how many girls I been with in my life
I tell ya, ""I stopped keeping count when I was 25""
I ask you the same thing, you tell me, ""Seven guys""
But we both know that's a lie
'Cause if we countin' head and if we countin' drunken nights
Then that number that you gave just might be off by eight or nine
But it's still nowhere close to mine
Marcus prolly had to bring me straps like thirty times
He took over like four years ago when Courtne had resigned
I been talkin' sex with Courtne since like 2005
We been friends since junior high
Tough to enjoy the company and never cross the line
She's like, ""Is it more than a hundred, with everyone combined?""
And I say, ""Yeah, that's bein' kind""
At one point or another they all felt like they were mine
I had a lot of backs that I would never talk behind
I'm not really into threesomes, I like one thing at a time
I like when it's you and I
Plus I always feel like if somebody outperforms you
That could jeopardize your pride and I'm not into choosin' sides
Unless you 'bout to sleep and you askin' me what's my side
It's the right at home, but this a hotel so you can decide
Lessons that I learned before hittin' my prime
Confessions that I blame on the zodiac sign
Things you need to hear 'fore we say our goodbyes
Free myself of it all, watch a Scorpio rise
Yeah

[Verse 2: Jessie Reyez]
You say you wanna know but you don't though
Why you wanna know who I cropped out of photos?
And lately, papi, you been acting tonto
What you think before you, I was only movin' dolo
But I'm honest 'til I die, so I won't lie
And I prolly got some numbers that you won't like
And you're prolly gonna hate it
But I much rather be hated for the truth than for the wrong guy if he ain't done
You can't be this good without some badness
What? You think I fuck this good without some practice?
And if it's LOV and you're my MVP
Then why we talkin' about practice?
Like you want me to lie
Why would I jeopardize my worth, just to value your pride?
Confessions that I blame on the zodiac sign
'Cause then I switch up and I blame it on my Gemini
Might be jealousy, 'cause you just want me tradin' lives
Jealousy, 'cause I can get the girls and get the guys
And if I'm honest, this whole convo's just a waste of time
'Cause legacy should be my focus, not here playin' wife",1
"[Intro: Drake]
Woah, woah
Yeah

[Chorus: Drake]
Sometimes we laugh and sometimes we cry, but I guess you know now, baby
I took a half and she took the whole thing, slow down, baby
We took a trip, now we on your block and it's like a ghost town, baby
Where do these niggas be at when they say they doin' all this and all that?

[Verse 1: Drake]
Tired of beefin' you bums, you can't even pay me enough to react
Been wakin' up in the crib and sometimes I don't even know where I'm at
Please don't play that nigga songs in this party, I can't even listen to that
Anytime that I ran into somebody, it must be a victory lap, ayy
Shawty, come sit on my lap, ayy, they sayin' Drizzy just snap
Distance between us is not like a store, this isn't a closeable gap, ayy
I've seen some niggas attack and don't end up makin' it back

[Pre-Chorus: Drake]
I know that they at the crib goin' crazy, down bad
What they had didn't last, damn, baby

[Chorus: Drake]
Sometimes we laugh and sometimes we cry, but I guess you know now, baby
I took a half and she took the whole thing, slow down, baby
We took a trip, now we on your block and it's like a ghost town, baby
Where do these niggas be at when they say they doin' all this and all that?

[Verse 2: Lil Durk & Drake]
I'm in the trenches, relax
Can you not play that lil' boy in the club? 'Cause we do not listen to rats
We in Atlanta, I buy her a wig, she tellin' me Tae is the best
Point at the nigga who act like a killer, but you only one from the 'net
I'm like DaBaby, I'm not just a rapper, you play with me, you gon' get stretched
Ooh-oh
Bring Drake to the hood, surround Drake around Dracs
Even though I got a case, I'ma do what it take
And I never been embraced
And the money's hard to make
So I bet they on they face right now

[Pre-Chorus: Drake]
I know that they at the crib goin' crazy, down bad
What they had didn't last, damn, baby

[Chorus: Drake]
Sometimes we laugh and sometimes we cry, but I guess you know now, baby
I took a half and she took the whole thing, slow down, baby
We took a trip, now we on your block and it's like a ghost town, baby
Where do these niggas be at when they say they doin' all this and all that?

[Verse 3: Drake]
When he tell the story, that's not how it went
Know they be lyin', a hundred percent
Moved out the Ritz and forgot 'bout the Bent'
Valet just called me to tell me come get it
Knocked that boy off and I don't want no credit
If it was me, they wouldn't regret it
Left me for dead and now they wan' dead it, yeah
Heart is still beatin', my niggas still eatin'
Backyard, it look like the Garden of Eden
Pillow talk with 'em, she spillin' the tea
And then shawty came back and said she didn't mean it
It's hard to believe it

[Pre-Chorus: Drake]
I know that they at the crib goin' crazy, down bad
What they had didn't last, damn, baby

[Chorus: Drake]
Sometimes we laugh and sometimes we cry, but I guess you know now, baby
I took a half and she took the whole thing, slow down, baby
We took a trip, now we on your block and it's like a ghost town, baby
Where do these niggas be at when they say they doin' all this and all that?",1
"[Intro: Pimp C]
Man, get the fuck away from us, we don't want nothin' but money
We some family men, we gettin' this paper
Know what I'm talkin' 'bout?
And I had to put that out there, Bun
Because a lot of niggas doin' lot of Fugazi shit out here, man

[Chorus]
Love me, save me, tell me, try me
All you do is lie to me
Takin' me for granted, I could tell
All you do is lie to me
Lies don't excite me, I'm lonely
Need more than a homie
Takin' me for granted, I could tell

[Verse]
All you do is lie to me
And dub me, you never love me
Any confidence I came with, you take it from me
I just wanna get beside you and make you love me
I just can not take the silence, you keep ignorin' me
See you makin' all this time for more important things
We was s'posed to catch a vibe the other night
Busy now, but you was down that other time
Why you always lead me on and give me signs?
I just wanna get beside and make you mine
I just wanna come inside and reunite
Got me waitin' outside (Hah)

[Chorus]
Love me, save me, tell me, try me
All you do is lie to me
Takin' me for granted, I could tell
All you do is lie to me
Lies don't excite me, I'm lonely
Need more than a homie
Takin' me for granted, I could tell

[Outro: Diddy]
Uhm, you was just so in your pocket, uhm
Cats used to tell me when they used to come to my house in Miami and shit
That, that, that they felt a feelin' of like
They felt a lil' fucked up in they stomach
But, they was inspired 'cause they knew they, they, they had somethin' to see the dream for, you know?
I done seen a lot of shit, I ain't never seen a, a young nigga as consistent as you that has affected the world in such a positive way since, you know, Michael Jackson
And then, when you've finally got the crib (All you do is lie to me)
You did it like, not even none of us did it, you feel me? Uhm
Nah, I mean I did it like that, I ain't gon' lie, I ain't gon' lie to you
I did it like that, but, I ain't never been affected by another nigga crib in the way that did it to inspire me
How cats told me that he'd been inspired (All you do is lie to me)
And felt that feelin' in they gut, like ""I gotta work harder"" (Need more than a homie)
Well I mean workin' harder just to compete, bro, for real, for real
It's either you fuckin' in the game or you're out the game
Nigga, I'm back in this motherfucker, let's get some money
It's over, nigga, you have arrived, top five, end of discussion
May God bless you, Inshallah, you know what I'm sayin'?
This your brother, Diddy, take that
And thank you for the inspiration, jheeze",1
"[Chorus]
Just hung up the phone and I
Could already tell that you're comin' home intoxicated, ooh
So you better take your time with me
'Cause I remember last time you wouldn't make love to me
Think you fell fast asleep (I hope you niggas sleep)
Wouldn't even talk to me now

[Verse]
Say, say I'm so crazy, baby
I wanted you to race my mind
I got the keys
Please, for me
Since you're comin' home intoxicated, oh
For me, please
I wanted you to erase my mind

[Open Verse]",1
"[Intro]
Previously on Ready To Die

[Chorus]
Never had a lot, this is all I need
People never care 'til it's R.I.P
Niggas turned they back on me for no good reason
Loyalty is priceless and it's all I need
Can't burn a bridge just to light my way
Lotta 42 on the flights I'm takin'
Pourin' out my soul and it might sound crazy
Lotta fallin' outs help me build foundation
Never had a lot, this is all I need
People never care 'til it's R.I.P
Niggas turned they back on me for no good reason
Never had a lot, this is all I need

[Verse 1]
Lost individuals is all I see
Grab the top spot like pardon my reach
Woke up one day and it was all on me
If it comes down, it's gon' fall on me
Lotta 42 on the flights I'm takin'
Long way down from the heights I'm chasin'
Just touched down, I was lights out in Vegas
Girls checkin' in 'cause my lifestyle dangerous
Hard to tell people that I'm all out of favors
Call me for songs or they call me for paper
Turnin' off my phone for the night now, baby
Pourin' out my soul and it might sound crazy
Some of my niggas don't love me
We should sit down before shit turns ugly
We should sit down since you said things about me

[Chorus]
Never had a lot, this is all I need
People never care 'til it's R.I.P
Niggas turned they back on me for no good reason
Loyalty is priceless and it's all I need
Can't burn a bridge just to light my way
Lotta 42 on the flights I'm takin'
Pourin' out my soul and it might sound crazy
Lotta fallin' outs help me build foundation
Never had a lot, this is all I need
People never care 'til it's R.I.P
Niggas turned they back on me for no good reason

[Verse 2]
You should slide through and get your back broke
Used to be involved with me with no emotion
I was on the way to the next show
You was on the phone and you were so open
Heard you said you're over me, is that so?
You don't ever filter girl and that's okay
Coulda held on but you let it go
Sayin' to yourself that it's better this way
Funny thing is that you're going to need me and I know
You should slide through and get your back broke
Funny thing is that you're going to need me and I know
You should slide through and get your back broke
Feelings I've been stackin' like a bankroll
I should probably find a way to let it go
Wonder what it was that turned you this cold
Said you left me jaded and I wasn't joking
Miss the way it was a couple years ago
Back when we was young and now you've outgrown me
Hard to just accept I was a steppin' stone
Way that people talk about you I should've known
You're going to need me and I know
You should slide through and get your back broke
Funny thing is that you're going to need me and I know
You should slide through and get your back broke",1
"[Intro]
For my nigga Hush
Yeah, look

[Verse 1]
Dressed in fatigues, I rep the East with my trustees
Smokin' on crushed leaves
They turn they back on everything we built, then they must bleed
I've seen splatter hit the snow when the blood freeze
Straps over territory they know we must keep
Get home and white Air Forces get brushed clean
Back when my mama would interrupt sleep
To tell me hurry up 'cause the bus leaves
Summertime heatwaves, I used to just cut sleeves
My shorty really love me, man, she want me to cut keys
I can't do that normal type of life, is it just me?
Niggas steady try to ride the wave, but it's rough seas
I'm losin' enough sleep dealin' with envy
And the news that they sent for me got the block in a frenzy
It's on Meech like it's trendy
Runnin' round from Laurier to MacKenzie when the city's empty, yeah
Early twenties, but I want fifties, hundreds, not pennies
I need plenty
Got me ready to flip the F out like Fendi
Whatever's in me, it's takin' over
I gotta bust it down, break it open
Until somebody starts takin' notice, then we rollin'

[Chorus]
Yeah, then we rollin', then we rollin'
Deep pockets on a nigga, I can't find my phone in
Now we rollin'
Yeah, then we rollin', then we rollin'
Deep pockets on a nigga, I can't find my phone in
Now we rollin'

[Verse 2]
Look
Back when Big Apple sold dreams, I stuck to my own thing
Back when the house that I own now was my home screen
Before I'd ever hit the road and feel like the home team
Runnin' missions
Pyramid schemes just like the Egyptians
Back when hotlines were still flippin'
Now I'm seein' money off of hotlines blingin' but it feels different
Transitions, plans switchin', ambition
Mindin' my business, buildin' a business, et cetera
Inspired by a few, but my mind really drives itself like Tesla
I always had a little somethin' extra
Back when Corey was our sole investor
And the car could get from A to B, but won't impress ya
Look, I ain't no baller
Still need my accounts longer like the way my nephew's gettin' taller
My soundtrack is the second Carter, dreamin' of acceptin' offers
And easin' tensions
Keepin' family out of East Detention
And out of Pine Hill Funeral Center
Spots we got no business enterin'
Back when Jill Scott was the apple of my afrocentric eye
I had to find a way to get someone's attention

[Chorus]
Then we rollin', then we rollin'
Deep pockets on a nigga, I can't find my phone in
Now we rollin'
Yeah, then we rollin', then we rollin'
Deep pockets on a nigga, I can't find my phone in
Now we rollin'",1
